word, root, skeleton, wiki_link, meanings
غَوْث, غوث, غوث, https://en.wiktionary.org/wiki/%D8%BA%D9%88%D8%AB, verbal noun of غَاثَ (ḡāṯa); help; aid
مِغْوَار, غور, مغوار, https://en.wiktionary.org/wiki/%D9%85%D8%BA%D9%88%D8%A7%D8%B1, swift; vehement; spunky; spunky; dauntless; fearless
مِغْوَار, غور, مغوار, https://en.wiktionary.org/wiki/%D9%85%D8%BA%D9%88%D8%A7%D8%B1, raider; ranger; knight; dauntless fighter; commando
غَارَة, غور, غارة, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B1%D8%A9, raid; encroachment
غَارَة, غور, غارة, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B1%D8%A9, singulative of غَار (ḡār; “bay laurel”)
أَغَارَ, غور, أغار, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D8%A7%D8%B1, to attack; to raid; to invade; to travel in the lowlands; to make a predatory incursion; make a foray (into a territory)
مَغَارَة, غور, مغارة, https://en.wiktionary.org/wiki/%D9%85%D8%BA%D8%A7%D8%B1%D8%A9, grotto
غَارَ, غور, غار, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B1, (intransitive) to be jealous (عَلَى (ʕalā) (a beloved one); مِنْ (min) (of somebody as a rival))
غَارَ, غور, غار, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B1, to enter; to penetrate deeply
غَارَ, غور, غار, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B1, to sink in; to become depressed; seep away; to trickle away; to ooze away; to peter out
غَار, غور, غار, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B1, cavern; palate
غَار, غور, غار, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B1, bay laurel (Laurus nobilis); laurel (Laurus gen.)
غَوْر, غور, غور, https://en.wiktionary.org/wiki/%D8%BA%D9%88%D8%B1, verbal noun of غَارَ (ḡāra) (form I); depression; sunken place; bottom; low part; (figuratively) deepness in thought
غَوَّرَ, غور, غور, https://en.wiktionary.org/wiki/%D8%BA%D9%88%D8%B1, (intransitive) synonym of غَارَ (ḡāra; “to descend; to enter in a state of depression; to seep away”); (transitive) to make depressed; to make enter a low position; (phonetics) to palatalize
غَوَّاصَة, غوص, غواصة, https://en.wiktionary.org/wiki/%D8%BA%D9%88%D8%A7%D8%B5%D8%A9, submarine
غَاصَ, غوص, غاص, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B5, (intransitive) to dive; to submerge; to plunge (فِي (fī))
تَغَوَّطَ, غوط, تغوط, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D9%88%D8%B7, to defecate
تَغَوُّط, غوط, تغوط, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D9%88%D8%B7, verbal noun of تَغَوَّطَ (taḡawwaṭa) (form V); defecation
غَوِيط, غوط, غويط, https://en.wiktionary.org/wiki/%D8%BA%D9%88%D9%8A%D8%B7, deep (having its bottom far down)
غَائِط, غوط, غائط, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A6%D8%B7, (obsolete) wide; depressed ground; feces; excrement
اِغْتِيَال, غول, اغتيال, https://en.wiktionary.org/wiki/%D8%A7%D8%BA%D8%AA%D9%8A%D8%A7%D9%84, verbal noun of اِغْتَالَ (iḡtāla) (form VIII)
أُمّ غِيلَان, غول, أم غيلان, https://en.wiktionary.org/wiki/%D8%A3%D9%85_%D8%BA%D9%8A%D9%84%D8%A7%D9%86, Used other than figuratively or idiomatically: see أُمّ (ʔumm);‎ غَيْلَان (ḡaylān).
أُمّ غَيْلَان, غول, أم غيلان, https://en.wiktionary.org/wiki/%D8%A3%D9%85_%D8%BA%D9%8A%D9%84%D8%A7%D9%86, Used other than figuratively or idiomatically: see أُمّ (ʔumm);‎ غَيْلَان (ḡaylān).
اِغْتَالَ, غول, اغتال, https://en.wiktionary.org/wiki/%D8%A7%D8%BA%D8%AA%D8%A7%D9%84, to assassinate
غُول, غول, غول, https://en.wiktionary.org/wiki/%D8%BA%D9%88%D9%84, ape; orangutan (obsolete); ghoul; desert demon; demon; jinn; goblin; monster; ogre; cannibal; troll; oni; giant; calamity; disaster
غَوْل, غول, غول, https://en.wiktionary.org/wiki/%D8%BA%D9%88%D9%84, taking away; snatching; seizing; grabbing
غَايَة, غوي, غاية, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D9%8A%D8%A9, end; purpose; goal; aim; objective
أَغْوَى, غوي, أغوى, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%88%D9%89, to lure; to tempt; to attract; to seduce
غَيّ, غوي, غي, https://en.wiktionary.org/wiki/%D8%BA%D9%8A, verbal noun of غَوَىٰ (ḡawā) (form I); falsehood; misguidance; corruption; torment; torture
تَغَيَّبَ, غيب, تغيب, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D9%8A%D8%A8, (عَن (ʕan)) to be absent (from)
تَغَيُّب, غيب, تغيب, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D9%8A%D8%A8, verbal noun of تَغَيَّبَ (taḡayyaba) (form V)
تَغِيبُ, غيب, تغيب, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D9%8A%D8%A8, second-person masculine singular non-past active indicative of غَابَ (ḡāba); third-person feminine singular non-past active indicative of غَابَ (ḡāba)
تَغِيبَ, غيب, تغيب, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D9%8A%D8%A8, second-person masculine singular non-past active subjunctive of غَابَ (ḡāba); third-person feminine singular non-past active subjunctive of غَابَ (ḡāba)
اِغْتِيَاب, غيب, اغتياب, https://en.wiktionary.org/wiki/%D8%A7%D8%BA%D8%AA%D9%8A%D8%A7%D8%A8, verbal noun of اِغْتَابَ (iḡtāba) (form VIII); backbiting; talking badly about someone behind their back
غَيْب, غيب, غيب, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%A8, verbal noun of غَابَ (ḡāba) (form I); that which is unseen; unperceived; unwitnessed; yet to be seen
غِيبَ, غيب, غيب, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%A8, third-person masculine singular past passive of غَابَ (ḡāba)
اِغْتَابَ, غيب, اغتاب, https://en.wiktionary.org/wiki/%D8%A7%D8%BA%D8%AA%D8%A7%D8%A8, to speak badly of a person in his absence; to backbite
غَابَ, غيب, غاب, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A8, to be absent
غَابَ, غيب, غاب, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A8, to backbite; to speak badly of an absent person.
غَابَة, غيب, غابة, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A8%D8%A9, forest
غَائِب, غيب, غائب, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A6%D8%A8, hidden; vanished; concealed; absent; invisible
غَائِب, غيب, غائب, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A6%D8%A8, something hidden; future; God (the Invisible); (grammar) third person
مُغَيَّب, غيب, مغيب, https://en.wiktionary.org/wiki/%D9%85%D8%BA%D9%8A%D8%A8, hidden; concealed; invisible; (in the plural) hidden; transcendental things; divine secrets; (person) duped
مَغِيب, غيب, مغيب, https://en.wiktionary.org/wiki/%D9%85%D8%BA%D9%8A%D8%A8, verbal noun of غَابَ (ḡāba) (form I); sundown; sunset
غَيْبُوبَة, غيب, غيبوبة, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%A8%D9%88%D8%A8%D8%A9, verbal noun of غَابَ (ḡāba) (form I); (medicine; pathology) coma
غِيَاب, غيب, غياب, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%A7%D8%A8, (uncountable) verbal noun of غَابَ (ḡāba) (form I); absence
غَيْث, غيث, غيث, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%AB, rain
أَغْيَد, غيد, أغيد, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%AF, delicate
غَيِدَ, غيد, غيد, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%AF, to walk seductively; gracefully; smoothly
غَيَد, غيد, غيد, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%AF, verbal noun of غَيِدَ (ḡayida) (form I); smoothness; tenderness; delicacy; slenderness; softness; fineness; mellowness; elasticity
غِيْد, غيد, غيد, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%AF, plural of غَيْدَاءُ (ḡaydāʔu); plural of أَغْيَدُ (ʔaḡyadu)
غَائِر, غير, غائر, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A6%D8%B1, active participle of غَارَ (ḡāra).
غَيُور, غير, غيور, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%88%D8%B1, very jealous; zealous; ardent; fervid; eager; very interested; keen; enthusiastic; very concerned
غَيُور, غير, غيور, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%88%D8%B1, zealot
تَغْيِيرَة, غير, تغييرة, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1%D8%A9, instance noun of غَمَزَ (ḡamaza): an instance of changing; a change
مُغَايَرَة, غير, مغايرة, https://en.wiktionary.org/wiki/%D9%85%D8%BA%D8%A7%D9%8A%D8%B1%D8%A9, verbal noun of غَايَرَ (ḡāyara) (form III); the state of being uneven or unalike; heterogeneity
مُغَايِر, غير, مغاير, https://en.wiktionary.org/wiki/%D9%85%D8%BA%D8%A7%D9%8A%D8%B1, active participle of غَايَرَ (ḡāyara); dissimilar; unlike
تَغْيِير, غير, تغيير, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D9%8A%D9%8A%D8%B1, verbal noun of غَيَّرَ (ḡayyara) (form II)
أَغْيَر, غير, أغير, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%B1, elative degree of غَيُور (ḡayūr):
أُغَيِّرُ, غير, أغير, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%B1, first-person singular non-past active indicative of غَيَّرَ (ḡayyara)
أُغَيِّرَ, غير, أغير, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%B1, first-person singular non-past active subjunctive of غَيَّرَ (ḡayyara)
أُغَيِّرْ, غير, أغير, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%B1, first-person singular non-past active jussive of غَيَّرَ (ḡayyara)
أُغَيَّرُ, غير, أغير, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%B1, first-person singular non-past passive indicative of غَيَّرَ (ḡayyara)
أُغَيَّرَ, غير, أغير, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%B1, first-person singular non-past passive subjunctive of غَيَّرَ (ḡayyara)
أُغَيَّرْ, غير, أغير, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%B1, first-person singular non-past passive jussive of غَيَّرَ (ḡayyara)
غِيَار, غير, غيار, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%A7%D8%B1, replacement; swapping out; verbal noun of غَايَرَ (ḡāyara) (form III); spare part; change; dressing; anything held in reserve to replace a part of something
غَيْرة, غير, غيرة, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%B1%D8%A9, verbal noun of غَارَ (ḡāra; “to be jealous”) (form I); jealousy
غَيْرَان, غير, غيران, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%B1%D8%A7%D9%86, jealous
غَيْرَان, غير, غيران, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%B1%D8%A7%D9%86, jealous
غَاظَ, غيظ, غاظ, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%B8, to make angry; to infuriate; to enrage
أَغَاظَ, غيظ, أغاظ, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D8%A7%D8%B8, to enrage; to infuriate
غَافَ, غيف, غاف, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D9%81, to be inclined; to have the branches bent
غَاف, غيف, غاف, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D9%81, Prosopis gen. et spp.; particularly Prosopis cineraria
غَائِلَة, غيل, غائلة, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A6%D9%84%D8%A9, evil
غَائِم, غيم, غائم, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D8%A6%D9%85, cloudy; overcast; clouded
غَيْمَة, غيم, غيمة, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%85%D8%A9, cloud
غَيْم, غيم, غيم, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%85, clouds
غَيَّمَ, غيم, غيم, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%85, (intransitive) to emit clouds
غيّم, غيم, غيم, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D9%85, to become cloudy
تَغَايَا, غيي, تغايا, https://en.wiktionary.org/wiki/%D8%AA%D8%BA%D8%A7%D9%8A%D8%A7, to gather around and aid each other against
غَيَّا, غيي, غيا, https://en.wiktionary.org/wiki/%D8%BA%D9%8A%D8%A7, to set up; make or hoist (of flag; banner or standard); to flutter (of birds); to make apparent; manifest or known an utmost or extreme; extent; term; limit and the like
غَايَا, غيي, غايا, https://en.wiktionary.org/wiki/%D8%BA%D8%A7%D9%8A%D8%A7, to be as extreme as
أَغْيَا, غيي, أغيا, https://en.wiktionary.org/wiki/%D8%A3%D8%BA%D9%8A%D8%A7, to reach or attain the utmost limit or zenith of excellence; to be or become stationary and overshadow
أَفْأَدَ, فءد, أفأد, https://en.wiktionary.org/wiki/%D8%A3%D9%81%D8%A3%D8%AF, to ignite
فُؤَاد, فءد, فؤاد, https://en.wiktionary.org/wiki/%D9%81%D8%A4%D8%A7%D8%AF, heart
فُؤَاد, فءد, فؤاد, https://en.wiktionary.org/wiki/%D9%81%D8%A4%D8%A7%D8%AF, a male given name; equivalent to English Fuad
فَأْس, فءس, فأس, https://en.wiktionary.org/wiki/%D9%81%D8%A3%D8%B3, axe; hatchet; cleaver (tool); adze; pickaxe; mattock (tool); a protrusion; especially one in a curb bit for a horse's mouth; a protuberant portion of a millstone; the middle of which attaches to an axis
تَفَاؤُل, فءل, تفاؤل, https://en.wiktionary.org/wiki/%D8%AA%D9%81%D8%A7%D8%A4%D9%84, verbal noun of تَفَاءَلَ (tafāʔala) (form VI); optimism
فَأْل, فءل, فأل, https://en.wiktionary.org/wiki/%D9%81%D8%A3%D9%84, good omen
تَفَاءَلَ, فءل, تفاءل, https://en.wiktionary.org/wiki/%D8%AA%D9%81%D8%A7%D8%A1%D9%84, to be optimistic [with بِـ (bi-)]
اِنْفَأَى, فءو, انفأى, https://en.wiktionary.org/wiki/%D8%A7%D9%86%D9%81%D8%A3%D9%89, to become split; cloven; laid open; cracked open; breached; uncovered; exposed to view
فَتَأَ, فتء, فتأ, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A3, Alternative form of فَتِئَ (fatiʔa)
فَتَأَ or فَتِئَ, فتء, فتئ, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A6, to cease; to stop [with عَنْ (ʕan)]; (copulative; in the negative) to still do
تَفَتَّتَ, فتت, تفتت, https://en.wiktionary.org/wiki/%D8%AA%D9%81%D8%AA%D8%AA, to crumble; to disintegrate; to break down
تَفَتُّت, فتت, تفتت, https://en.wiktionary.org/wiki/%D8%AA%D9%81%D8%AA%D8%AA, verbal noun of تَفَتَّتَ (tafattata) (form V)
فَتِيت, فتت, فتيت, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%8A%D8%AA, crumbs (collectively: small pieces broken off from a whole)
فَتَّة, فتت, فتة, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A9, shred; chunk; scrap
فَتَّ, فتت, فت, https://en.wiktionary.org/wiki/%D9%81%D8%AA, to break; to bruise; to bray; to disintegrate; (figurative) to weaken; to enervate; to discourage; to defeat
فَتّ, فتت, فت, https://en.wiktionary.org/wiki/%D9%81%D8%AA, verbal noun of فَتَّ (fatta) (form I); crumb; morsel
فَتّ, فتت, فت, https://en.wiktionary.org/wiki/%D9%81%D8%AA, fissure
فُتَات, فتت, فتات, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A7%D8%AA, (uncountable) crumb; what has disintegrated; scrap; debris; shard
فَتَّتَ, فتت, فتت, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%AA, to chop; to shred; chunk
تَفْتِيح, فتح, تفتيح, https://en.wiktionary.org/wiki/%D8%AA%D9%81%D8%AA%D9%8A%D8%AD, verbal noun of فَتَّحَ (fattaḥa) (form II)
اِفْتِتَاحِيّ, فتح, افتتاحي, https://en.wiktionary.org/wiki/%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD%D9%8A, preliminary; precursory; initiatory; inaugural
اِفْتِتَاح, فتح, افتتاح, https://en.wiktionary.org/wiki/%D8%A7%D9%81%D8%AA%D8%AA%D8%A7%D8%AD, verbal noun of اِفْتَتَحَ (iftataḥa) (form VIII); opening; introduction; inauguration; commencement; the starting off or beginning a thing
أَفْتَح, فتح, أفتح, https://en.wiktionary.org/wiki/%D8%A3%D9%81%D8%AA%D8%AD, elative degree of فَاتِح (fātiḥ):
أَفْتَحُ, فتح, أفتح, https://en.wiktionary.org/wiki/%D8%A3%D9%81%D8%AA%D8%AD, first-person singular non-past active indicative of فَتَحَ (fataḥa)
أَفْتَحَ, فتح, أفتح, https://en.wiktionary.org/wiki/%D8%A3%D9%81%D8%AA%D8%AD, first-person singular non-past active subjunctive of فَتَحَ (fataḥa)
أَفْتَحْ, فتح, أفتح, https://en.wiktionary.org/wiki/%D8%A3%D9%81%D8%AA%D8%AD, first-person singular non-past active jussive of فَتَحَ (fataḥa)
أُفْتَحُ, فتح, أفتح, https://en.wiktionary.org/wiki/%D8%A3%D9%81%D8%AA%D8%AD, first-person singular non-past passive indicative of فَتَحَ (fataḥa)
أُفْتَحَ, فتح, أفتح, https://en.wiktionary.org/wiki/%D8%A3%D9%81%D8%AA%D8%AD, first-person singular non-past passive subjunctive of فَتَحَ (fataḥa)
أُفْتَحْ, فتح, أفتح, https://en.wiktionary.org/wiki/%D8%A3%D9%81%D8%AA%D8%AD, first-person singular non-past passive jussive of فَتَحَ (fataḥa)
اِنْفِتَاح, فتح, انفتاح, https://en.wiktionary.org/wiki/%D8%A7%D9%86%D9%81%D8%AA%D8%A7%D8%AD, verbal noun of اِنْفَتَحَ (infataḥa) (form VII); openness; receptiveness
فَاتِحَة, فتح, فاتحة, https://en.wiktionary.org/wiki/%D9%81%D8%A7%D8%AA%D8%AD%D8%A9, start; beginning; commencement; preface; preamble; introduction
فَاتِحَة, فتح, فاتحة, https://en.wiktionary.org/wiki/%D9%81%D8%A7%D8%AA%D8%AD%D8%A9, feminine singular of فَاتِح (fātiḥ)
اِفْتَتَحَ, فتح, افتتح, https://en.wiktionary.org/wiki/%D8%A7%D9%81%D8%AA%D8%AA%D8%AD, to open; to commence; to inaugurate
فَاتِح, فتح, فاتح, https://en.wiktionary.org/wiki/%D9%81%D8%A7%D8%AA%D8%AD, opener (one who opens); victor; conqueror
فَاتِح, فتح, فاتح, https://en.wiktionary.org/wiki/%D9%81%D8%A7%D8%AA%D8%AD, light (in color); semidark (in color)
فَاتَحَ, فتح, فاتح, https://en.wiktionary.org/wiki/%D9%81%D8%A7%D8%AA%D8%AD, to start to talk to; to open a negotiation
فَتَّاحة, فتح, فتاحة, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A7%D8%AD%D8%A9, can opener
فَتَّاحة, فتح, فتاحة, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A7%D8%AD%D8%A9, can opener
فتّاحة, فتح, فتاحة, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A7%D8%AD%D8%A9, opener
مَفْتُوح, فتح, مفتوح, https://en.wiktionary.org/wiki/%D9%85%D9%81%D8%AA%D9%88%D8%AD, open
فَتْخَاء, فتخ, فتخاء, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%AE%D8%A7%D8%A1, (mythology) griffin
فُتُور, فتر, فتور, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%88%D8%B1, tepidness; lukewarmness; languour; indifference
فَاتِر, فتر, فاتر, https://en.wiktionary.org/wiki/%D9%81%D8%A7%D8%AA%D8%B1, lukewarm; tepid
مُفَتِّش, فتش, مفتش, https://en.wiktionary.org/wiki/%D9%85%D9%81%D8%AA%D8%B4, active participle of فَتَّشَ (fattaša).
مُفَتِّش, فتش, مفتش, https://en.wiktionary.org/wiki/%D9%85%D9%81%D8%AA%D8%B4, inspector; examiner; investigator
مُفَتَّش, فتش, مفتش, https://en.wiktionary.org/wiki/%D9%85%D9%81%D8%AA%D8%B4, passive participle of فَتَّشَ (fattaša).
تَفْتِيش, فتش, تفتيش, https://en.wiktionary.org/wiki/%D8%AA%D9%81%D8%AA%D9%8A%D8%B4, verbal noun of فَتَّشَ (fattaša) (form II); search; looking for (act of searching for something); inspection; frisking (someone)
فَيْتَق, فتق, فيتق, https://en.wiktionary.org/wiki/%D9%81%D9%8A%D8%AA%D9%82, (obsolete) custodial engineer; carpenter; doorkeeper
فَتْق, فتق, فتق, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%82, rip; rent; tear; cleft; crack; fissure; slit; slash; (pathology) hernia
فَتَكَ, فتك, فتك, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%83, to kill; to assassinate to murder; to destroy; to annihilate (+ بِـ)
فَتْك, فتك, فتك, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%83, verbal noun of فَتَكَ (fataka)
فَتْلَة, فتل, فتلة, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%84%D8%A9, instance noun of فَتْل (fatl); singulative of فَتْل (fatl); the seed-vessels and blossoms of certain trees are called so; needleful of thread
فِتْلَة, فتل, فتلة, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%84%D8%A9, manner of twisting
فَتِيلَة, فتل, فتيلة, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%8A%D9%84%D8%A9, fuse; wick
فَتَلَ, فتل, فتل, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%84, to twist; to plait
فَتَّلَ, فتل, فتل, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%84, to twist; to plait
فَتْل, فتل, فتل, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%84, verbal noun of فَتَلَ (fatala) (form I); operation of twisting; product of twisting
فَتِيل, فتل, فتيل, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%8A%D9%84, twisted
فَتِيل, فتل, فتيل, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%8A%D9%84, any slender cord; fuse; wick
فَتَّان, فتن, فتان, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A7%D9%86, tempting
فَتَّان, فتن, فتان, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D8%A7%D9%86, troublemaker; instigator; agitator; Satan
مُفَتِّن, فتن, مفتن, https://en.wiktionary.org/wiki/%D9%85%D9%81%D8%AA%D9%86, instigator
فِتْنَة, فتن, فتنة, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%86%D8%A9, trial; strife; civil war; sedition; tribulation; charm; craze; crime
مَفْتُون, فتن, مفتون, https://en.wiktionary.org/wiki/%D9%85%D9%81%D8%AA%D9%88%D9%86, fascinated; captivated; infatuated; enraptured; charmed; bewitched; spellbound
مُفْتُون, فتن, مفتون, https://en.wiktionary.org/wiki/%D9%85%D9%81%D8%AA%D9%88%D9%86, plural of مُفْتٍ (muftin)
فَتَنَ, فتن, فتن, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%86, (transitive) to draw into temptation; to lead astray
فِتَن, فتن, فتن, https://en.wiktionary.org/wiki/%D9%81%D8%AA%D9%86, plural of فِتْنَة (fitna)
مُفْتٍ, فتي, مفت, https://en.wiktionary.org/wiki/%D9%85%D9%81%D8%AA, (also Islam) deliverer of formal opinions; mufti
